Name,Title,Company
Donna Johnson,Chief Marketing Officer,Inseego
Andreas Urschitz,CMO,Infineon
Julia Chen,Vice President AWS Partner Core,AWS
Robert Occhialini,Chief Technology Officer,World Surf League
Gabriel Romero,Chief Marketing Officer,AllCloud
Julie Neumann,Chief Marketing Officer,Honeycomb.io
Julia White,Chief Marketing Officer,AWS
Dimitri Vlachos,Chief Marketing Officer,Spacelift
Bhaskar Krishnamsetty,Chief Product Officer,Fabrix.ai
Rached Blili,Distinguished Engineer,Fabrix.ai
Shailesh Manjrekar,Chief Marketing & AI Officer,Fabrix.ai
Kevin Cochrane,Chief Marketing Officer,Vultr
Jan Murry,Director of Internal Audit,GE Aerospace
April Crichlow,Chief Marketing Officer,AuditBoard
Michael Atalla,Chief Marketing Officer,UiPath
Michael Nicosia,Co-Founder & COO,Salt Security
Michael Callahan,Chief Marketing Officer,Salt Security
Jonathan Sanchez,Sr. Marketing Manager Tools & Systems,eBay
Jennifer “JJ” Johnson,Chief Marketing Officer,CrowdStrike
Amy Luca,Chief Marketing Officer,Tensor
Jyothi Swaroop,Chief Marketing Officer,DDN
Mick Hollison,Founder & CEO,Redline Advisors
Bernd Greifeneder,Chief Technology Officer & Founder,Dynatrace
Laura Heisman,Chief Marketing Officer,Dynatrace
Ariel Wengroff,Chief Marketing Officer,Ledger
Alison Wagonfeld,Chief Marketing Officer,Google Cloud
Betty Junod,Chief Marketing Officer,Heroku (Salesforce)
Vinny Choinski,Founder & Principal Analyst,Triptych Info
Mitch Seigle,Chief Marketing Officer,Spectra Logic
Eric Herzog,Chief Marketing Officer,Infinidat
Danielle Goode Coady,VP of Marketing,Index Engines
Christophe Bertrand,Principal Analyst,theCUBE Research
Jim McGann,Chief Marketing Officer,Index Engines
Brian Householder,Senior Advisor,Index Engines
Tim Freestone,Chief Marketing Officer,Kiteworks
Adam Berlew,Chief Marketing Officer,Equinix
Josh Harbert,SVP & CMO,Couchbase
Matt McDonough,SVP of Product,Couchbase
Steven Van Zanen,Chief Marketing Officer,BroadForward
Shlomo Kramer,Co-Founder & CEO,Cato Networks
Sarbjeet Johal,Founder & CEO,Stackpane
Chandra Rangan,Chief Marketing Officer,Neo4j
Sanjay Kumar,VP of Products & Marketing,Arrcus
Rachel Thornton,Chief Marketing Officer,Adobe Enterprise
Akanksha Mehrotra,Corporate VP AI & Enterprise Marketing,AMD
Isabelle Dumont,Chief Marketing Officer,DeNexus
Surbhi Agarwal,Chief Marketing Officer,Applied Intuition
JB Baker,Chief Marketing Officer,ScaleFlux
Mandy Dhaliwal,Chief Marketing Officer,Nutanix
Julie Choi,Chief Marketing Officer,Cerebras
