Name,Title,Company,Domain
Donna Johnson,Chief Marketing Officer,Inseego,inseego.com
Andreas Urschitz,CMO,Infineon,infineon.com
Julia Chen,Vice President AWS Partner Core,AWS,aws.com
Robert Occhialini,Chief Technology Officer,World Surf League,worldsurfleague.com
Gabriel Romero,Chief Marketing Officer,AllCloud,allcloud.com
Julie Neumann,Chief Marketing Officer,Honeycomb.io,honeycombio.com
Julia White,Chief Marketing Officer,AWS,aws.com
Dimitri Vlachos,Chief Marketing Officer,Spacelift,spacelift.com
Bhaskar Krishnamsetty,Chief Product Officer,Fabrix.ai,fabrixai.com
Shailesh Manjrekar,Chief Marketing & AI Officer,Fabrix.ai,fabrixai.com
Kevin Cochrane,Chief Marketing Officer,Vultr,vultr.com
Jan Murry,Director of Internal Audit,GE Aerospace,geaerospace.com
April Crichlow,Chief Marketing Officer,AuditBoard,auditboard.com
Michael Atalla,Chief Marketing Officer,UiPath,uipath.com
Michael Nicosia,Co-Founder & COO,Salt Security,saltsecurity.com
Michael Callahan,Chief Marketing Officer,Salt Security,saltsecurity.com
Jennifer “JJ” Johnson,Chief Marketing Officer,CrowdStrike,crowdstrike.com
Amy Luca,Chief Marketing Officer,Tensor,tensor.com
Jyothi Swaroop,Chief Marketing Officer,DDN,ddn.com
Mick Hollison,Founder & CEO,Redline Advisors,redlineadvisors.com
Bernd Greifeneder,Chief Technology Officer & Founder,Dynatrace,dynatrace.com
Laura Heisman,Chief Marketing Officer,Dynatrace,dynatrace.com
Ariel Wengroff,Chief Marketing Officer,Ledger,ledger.com
Alison Wagonfeld,Chief Marketing Officer,Google Cloud,googlecloud.com
Betty Junod,Chief Marketing Officer,Heroku (Salesforce),herokusalesforce.com
Vinny Choinski,Founder & Principal Analyst,Triptych Info,triptychinfo.com
Mitch Seigle,Chief Marketing Officer,Spectra Logic,spectralogic.com
Eric Herzog,Chief Marketing Officer,Infinidat,infinidat.com
Danielle Goode Coady,VP of Marketing,Index Engines,indexengines.com
Jim McGann,Chief Marketing Officer,Index Engines,indexengines.com
Tim Freestone,Chief Marketing Officer,Kiteworks,kiteworks.com
Adam Berlew,Chief Marketing Officer,Equinix,equinix.com
Josh Harbert,SVP & CMO,Couchbase,couchbase.com
Matt McDonough,SVP of Product,Couchbase,couchbase.com
Steven Van Zanen,Chief Marketing Officer,BroadForward,broadforward.com
Shlomo Kramer,Co-Founder & CEO,Cato Networks,cato.com
Sarbjeet Johal,Founder & CEO,Stackpane,stackpane.com
Chandra Rangan,Chief Marketing Officer,Neo4j,neo4j.com
Sanjay Kumar,VP of Products & Marketing,Arrcus,arrcus.com
Rachel Thornton,Chief Marketing Officer,Adobe Enterprise,adobeenterprise.com
Akanksha Mehrotra,Corporate VP AI & Enterprise Marketing,AMD,amd.com
Isabelle Dumont,Chief Marketing Officer,DeNexus,denexus.com
Surbhi Agarwal,Chief Marketing Officer,Applied Intuition,appliedintuition.com
JB Baker,Chief Marketing Officer,ScaleFlux,scaleflux.com
Mandy Dhaliwal,Chief Marketing Officer,Nutanix,nutanix.com
Julie Choi,Chief Marketing Officer,Cerebras,cerebras.com
Janine Gianfredi,Chief Marketing Officer,Transcarent,transcarent.com
Carolyn Crandall,Chief Marketing Officer,AirMDR,airmdr.com
Martina Trucco,Chief Marketing Officer,At-Bay,atbay.com
Abhay Parasnis,Founder & CEO,Typeface,typeface.com
Rajan Sheth,Chief Marketing Officer,Together AI,togetherai.com
Mark Heaps,VP of Brand & Chief Tech Evangelist,Groq,groq.com
Lisa Varela-Schutes,Public Sector Practice Leader & Sales Manager,Ingram Micro Cloud,ingrammicrocloud.com
Brooke Cunningham,Chief Marketing Officer,LogicMonitor,logicmonitor.com
Jen Jones,Chief Marketing Officer,commercetools,commercetools.com
Vidhya Srinivasan,Chief Marketing Officer,Prophix,prophix.com
Gabie Boko,Chief Marketing Officer,NetApp,netapp.com
Costa Kladianos,Head of Technology,San Francisco 49ers,sanfrancisco49ers.com
Alison Biggan,Chief Marketing Officer,Boomi,boomi.com
Jenn Chase,CMO & EVP,SAS Institute,sasinstitute.com
Peter Linder,Head of Thought Leadership – North America,Ericsson,ericsson.com
Jacqueline Woods,Chief Marketing Officer,Teradata,teradata.com
Leon Mishkis,COO,NewtonX,newtonx.com
Paola Menegon,Head of Strategic Opportunities/Alliances,Aruba,aruba.com
Andy Hurt,Chief Marketing Officer,Cobalt Iron,cobaltiron.com
Scott Baker,CMO VP IBM Storage,IBM,ibm.com
Jennifer Johnson (JJ),Chief Marketing Officer,CrowdStrike,crowdstrike.com
Jon Toor,Chief Marketing Officer,Cloudian,cloudian.com
Bobby Patrick,Chief Marketing Officer,UiPath,uipath.com
Craig Le Clair,VP Principal Analyst,Forrester Research,forresterresearch.com
Thomas Cornely,SVP Product Management,Nutanix,nutanix.com
Tarkan Maner,Chief Commercial Officer,Nutanix,nutanix.com
Justin Boitano,VP Enterprise AI,Nvidia,nvidia.com
Bob Parker,SVP Industry Software & Services Research,IDC,idc.com
Denise Persson,Chief Marketing Officer,Snowflake,snowflake.com
Mike Gannon,Chief Revenue Officer,Snowflake,snowflake.com
Chris Powell,Chief Marketing Officer,Qlik,qlik.com
Margaret Dawson,Chief Marketing Officer,Chronosphere,chronosphere.com
Bill Hineline,Field Chief Technology Officer,Chronosphere,chronosphere.com
Ted Marena,Director Market Development GPU AI Data Center OEM/ODMs,AMD,amd.com
Jean English,Chief Marketing Officer,Juniper Networks,juniper.com
Brett Hannath,Corporate Vice President & CMO,Intel,intel.com
Jim Jackson,Chief Marketing Officer,HPE,hpe.com
Jason Netwon,VP Global Marketing,HPE,hpe.com
Jeff Veis,CMO,Impetus Technologies,impetustechnologies.com
Ravi Kandikonda,Senior VP of Marketing,Zillow,zillow.com
Denise Persson,CMO,Snowflake,snowflake.com
Jim Kruger,Chief Marketing Officer,Informatica,informatica.com
Eric Herzog,CMO,Infinidat,infinidat.com
Gabie Boko,Chief Marketing Officer,NetApp,netapp.com
Abby Strong,CMO,Cribl,cribl.com
Alison Biggan,CMO,Boomi,boomi.com
Peder Ulander,CMO,MongoDB,mongodb.com
Mona Chadha,Director of Category Management,AWS,aws.com
Scott Baker,CMO & VP IBM Infrastructure Portfolio Product Marketing,IBM,ibm.com
Jen Jones,CMO,commercetools,commercetools.com
Jenn Chase,Chief Marketing Officer,SAS Institute,sasinstitute.com
Eric Hanson,CMO,Mitel,mitel.com
Luiz Domingos,CTO,Mitel,mitel.com
Chandra Rangan,CMO,Neo4j,neo4j.com
Kevin Cochrane,CMO,Vultr,vultr.com
Jacqueline Woods,Chief Marketing Officer,Teradata,teradata.com
Vedat Akgun,VP Data Science and AI,Teradata,teradata.com
Jennifer Johnson,Chief Marketing Officer,CrowdStrike,crowdstrike.com
Ian Massingham,CMO,Aiven,aiven.com
"Duleepa ""Dups"" Wijayawardhana",CTO,Supermetrics,supermetrics.com
David Nicholson,Field CTO,Infinidat,infinidat.com
Laura Heisman,Chief Marketing Officer,VMware,vmware.com
Geoff Stedman,Chief Marketing Officer,SDVI Corporation,sdvicorporation.com
Meagen Eisenberg,CMO,Lacework,lacework.com
Rachel Thorton,Chief Marketing Officer,MessageBird,messagebird.com
Andrea Euenheim,Chief People Officer,MessageBird,messagebird.com
Asha Thurthi,Chief Product Officer,MessageBird,messagebird.com
Zeynep Ozdemir,CMO,Palo Alto Networks,paloalto.com
Thomas Been,Chief Marketing Officer,DataStax,datastax.com
John Kreisa,CMO,Couchbase,couchbase.com
Tommy McClung,Co-Founder & CEO,Releasehub,releasehub.com
Matt Carter,CMO,Releasehub,releasehub.com
Ashley Kramer,Chief Marketing Officer & Chief Product Officer,Sisense,sisense.com
Ed Macosky,Head of Product,Boomi,boomi.com
Mandy Dhaliwal,CMO,Boomi,boomi.com
Brian Mullen,Chief Marketing Officer,InfluxData,influxdata.com
Arwa Kaddoura,Chief Revenue Officer,InfluxData,influxdata.com
Chris Port,COO,Boomi,boomi.com
Isabelle Guis,CMO,Commvault,commvault.com
Reza Morakabati,CIO,Commvault,commvault.com
Carol Carpenter,Senior Vice President and Chief Marketing Officer,VMware,vmware.com
Bill Largent,CEO,Veeam,veeam.com
Jim Kruger,CMO,Veeam,veeam.com
Ajay Khanna,Chief Marketing Officer,Explorium,explorium.com
Maria Winans,CMO,Kyndryl,kyndryl.com
John Maddison,CMO and EVP of Product,Fortinet,fortinet.com
Beth Davidson,CMO,Agero,agero.com
Raj Behara,VP and CTO,Agero,agero.com
Norman Guadagno,Chief Marketing Officer,Acoustic,acoustic.com
Eric Herzog,Chief Marketing Officer & VP of Global Storage Channels,IBM,ibm.com
Carol Carpenter,Chief Marketing Officer,VMware,vmware.com
Tim Minihan,EVP of Strategy Chief Marketing Officer,Citrix,citrix.com
Brian Reagan,CMO,Actifio,actifio.com
John Maddison,CMO and EVP Products,Fortinet,fortinet.com
Marissa Freeman,Chief Brand Officer,HPE,hpe.com
Jim Jackson,CMO,HPE,hpe.com
Danny Allan,CTO,Veeam,veeam.com
Michelle Peluso,SVP Digital Sales & Chief Marketing Officer,IBM,ibm.com
Peter Guagenti,Chief Marketing Officer,Cockroach Labs,cockroachlabs.com
Bobby Patrick,CMO,UiPath,uipath.com
Brandon Nott,Senior Vice President of Product,UiPath,uipath.com
Paul Forte,Chief Revenue Officer,Actifio,actifio.com
Mani Dasgupta,VP Marketing,IBM,ibm.com
Maria Winanas,CMO North America,IBM,ibm.com
Vittorio Viarengo,Interim CMO,McAfee,mcafee.com
Riadh Dridi,CMO,Automation Anywhere,automationanywhere.com
Karin Toubba,CEO,Kenna Security,kennasecurity.com
Caroline Japic,CMO,Kenna Security,kennasecurity.com
Eric Herzog,CMO & VP Global Channels,IBM Storage,ibmstorage.com
Eric Herzog,Chief Marketing Officer & VP of Global Storage Channels,IBM,ibm.com
Eric Herzog,CMO & VP of Global Storage Channels,IBM,ibm.com
Eric Herzog,CMO & VP Global Channels,IBM Storage,ibmstorage.com
Rick Vanover,Senior Director Product Strategy,Veeam,veeam.com
Jim Kruger,Chief Marketing Officer,Veeam,veeam.com
Lynn Lucas,CMO,Cohesity,cohesity.com
Chandar Pattabhiram,CMO,Coupa,coupa.com
Annie Weckesser,CMO,Uniphore,uniphore.com
Rip Gerber,Chief Marketing and Innovation Officer,Vlocity,vlocity.com
Carrie Palin,CMO,Splunk,splunk.com
Scott Hebner,Vice President & CMO,IBM Data & AI,ibmdataai.com
Bobby Patrick,CMO,UiPath,uipath.com
Chris Powell,CMO,Commvault,commvault.com
Gaidar Magdanurov,CMO & Chief Cyber Strategy Officer,Acronis,acronis.com
Mandy Dhaliwal,CMO,Boomi,boomi.com
Samantha Choi Cadley,CEO,Manual Labor Studio,manuallaborstudio.com
Anna Griffin,CMO,Smartsheet,smartsheet.com
Will Corkery,SVP of Sales,Boomi,boomi.com
Calline Sanchez,Vice President,IBM Worldwide Systems Lab Services,ibmworldwidelabservices.com
Graham Breeze,Field CTO,Tintri by DDN,tintribyddn.com
Mario Blandini,CMO & Chief Evangelist,Tintri by DDN,tintribyddn.com
Todd Forsythe,CMO,Veritas,veritas.com
Doc D’Errico,CMO,Infinidat,infinidat.com
Robin Matlock,CMO,VMware,vmware.com
Gary Conway,CMO,Automation Anywhere,automationanywhere.com
Gregory Ness,CMO,Tempered Networks,tempered.com
Ryan Kam,CMO,Five9,five9.com
Marie Hattar,CMO,Keysight,keysight.com
Meagen Eisenberg,CMO,TripActions,tripactions.com
Murali Nemani,CMO,ScienceLogic,sciencelogic.com
Joe Damassa,VP Strategy Offerings - Hybrid Cloud Services,IBM,ibm.com
Sally Jenkins,EVP & CMO,Informatica,informatica.com
Tim Minihan,CMO & EVP Strategy,Citrix,citrix.com
Alicia Tillman,CMO,SAP,sap.com
Ben Gibson,Chief Marketing Officer,Nutanix,nutanix.com
Monica Kumar,SVP Product & Solutions Marketing,Nutanix,nutanix.com
Allison Dew,CMO,Dell Technologies,delltechnologies.com
Sara Varni,CMO,Twilio,twilio.com
Micheline Nijmeh,CMO,Zscaler,zscaler.com
Alison Wagonfeld,CMO,Google Cloud,googlecloud.com
Partha Seetala,Co-founder and CTO,Robin.io,robinio.com
Radhesh Menon,CMO,Robin.io,robinio.com
Joyce Kim,CMO,Arm,arm.com
Tim Minahan,EVP of Business Strategy and CMO,Citrix,citrix.com
Joel Horwitz,CMO,WANdisco,wandisco.com
Steve Pappas,SVP and CMO,Panviva,panviva.com
Dayna Rothman,VP of Marketing,Mesosphere,mesosphere.com
Tom Murphy,Chief Marketing Officer,Turbonomic,turbonomic.com
Simon Townsend,Chief Marketing Officer EMEA,IGEL,igel.com
Jean English,Senior Vice President and Chief Marketing Officer,NetApp,netapp.com
Brian Goldfarb,CMO,Splunk,splunk.com
Karen Leavitt,Chief Marketing Officer,Locus Robotics,locusrobotics.com
Meagen Eisenberg,CMO,MongoDB,mongodb.com
Gil Levonai,Chief Marketing Officer,Zerto,zerto.com
Boris Renski,Co Founder and CMO,Mirantis,mirantis.com
Kate Hutchison,Chief Marketing Officer,Veeam,veeam.com
Nancy Pearson,CMO,IBM Cloud,ibmcloud.com
John Bara,CMO & President,Mintigo,mintigo.com
Jack Norris,CMO,MapR,mapr.com
Lynn Vojvodich,CMO,Salesforce,salesforce.com
Eric Herzog,CMO & SVP of Alliances,Violin Memory,violinmemory.com
David Gibson,CMO,Varonis,varonis.com
Bruno Aziza,CMO,Alpine Data Labs,alpinedatalabs.com
Steve Sommer,CMO,Splunk,splunk.com
Elissa Fink,CMO,Tableau,tableau.com
Rick Jackson,CMO,Rackspace,rackspace.com
Beth Comstock,CMO,GE,ge.com
Beth White,CMO,ServiceNow,servicenow.com
Sanjay Sarathy,CMO,Sumo Logic,sumologic.com
Jack Norris,CMO,MapR,mapr.com
Steve Sommer,CMO,Splunk,splunk.com
